1,13,2
2,4,1
3,12,1
4,15,1
5,15,1
6,11,2
7,12,2
8,7,2
9,9,1
10,8,1
11,7,2
12,1,1
13,13,1
14,12,2
15,10,1
16,9,2
17,1,2
18,13,2
19,4,1
20,9,1
21,2,1
22,1,1
23,9,2
24,3,2
25,14,1
26,7,2
27,12,2
28,12,2
29,4,2
30,9,2
31,2,2
32,3,1
33,2,1
34,11,1
35,14,1
36,3,2
37,5,2
38,13,1
39,1,1
40,14,1
41,8,1
42,13,1
43,12,2
44,2,1
45,13,2
46,9,2
47,4,2
48,9,1
49,8,1
50,1,2
51,6,2
49,5,2
3,9,1
18,3,1
26,4,1
4,11,1
21,12,2
8,1,2
16,13,2
39,9,1
2,10,1
24,2,1
15,14,1
18,6,2
36,2,1
1,6,2
42,4,2
7,3,2
23,3,1
50,9,1
46,14,1
7,10,2
45,1,2
11,11,2
17,8,1
14,13,1
30,2,2
11,6,2
21,5,1
20,8,1
42,11,2
13,11,2
15,5,2
1,3,2
46,11,2
7,11,1
25,9,2
16,5,2
51,14,2
34,10,2
6,2,1
47,10,1
32,13,2
32,2,1
15,9,2
2,6,2
37,6,2
51,7,1
49,1,2
34,5,1
